provinsi,2021,,,,,,,,,,,,,,
ACEH,33.2,,,,,,,,,,,31.6,26.4,35.7,37.1
SUMATERA UTARA,25.8,,,,,,,,,,,33.2,24.44,28.5,32.4
SUMATERA BARAT,23.3,,,,,,,,,,,27.7,25.54,30.6,29.9
RIAU,22.3,,,,,,,,,,,23.9,25.07,29.7,27.4
JAMBI,22.4,,,,,,,,,,,25.9,27,25.2,30.2
SUMATERA SELATAN,24.8,,,,,,,,,,,23.4,19.24,22.8,31.6
BENGKULU,22.1,,,,,,,,,,,18.1,22.96,29.4,28
LAMPUNG,18.5,,,,,,,,,,,22.7,24.78,31.6,27.3
KEP. BANGKA BELITUNG,18.6,,,,,,,,,,,18.9,21.92,27.3,23.4
KEP. RIAU,17.6,,,,,,,,,,,22.9,22.85,21,23.6
DKI JAKARTA,16.8,,,,,,,,,,,23,20.06,22.7,17.6
JAWA BARAT,24.5,,,,,,,,,,,25.6,25.13,29.2,31.1
JAWA TENGAH,20.9,,,,,,,,,,,24.8,23.87,28.5,31.3
DI YOGYAKARTA,17.3,,,,,,,,,,,20.6,21.84,19.8,21.4
JAWA TIMUR,23.5,,,,,,,,,,,27.1,26.13,26.7,32.8
BANTEN,24.5,,,,,,,,,,,23.2,26.99,29.6,26.6
BALI,10.9,,,,,,,,,,,20.6,19.7,19.1,21.9
NUSA TENGGARA BARAT,31.4,,,,,,,,,,,33.9,29.97,37.2,33.5
NUSA TENGGARA TIMUR,37.8,,,,,,,,,,,41.2,38.75,40.3,42.7
KALIMANTAN BARAT,29.8,,,,,,,,,,,34.1,34.93,36.5,33.3
KALIMANTAN TENGAH,27.4,,,,,,,,,,,33.4,34.11,39,34
KALIMANTAN SELATAN,30,,,,,,,,,,,37.2,31.13,34.2,33.1
KALIMANTAN TIMUR,22.8,,,,,,,,,,,26.7,27.14,30.6,29.2
KALIMANTAN UTARA,27.5,,,,,,,,,,,31,31.6,33.4,26.9
SULAWESI UTARA,21.6,,,,,,,,,,,22.2,21.21,31.4,25.5
SULAWESI TENGAH,29.7,,,,,,,,,,,35.3,32.04,36.1,32.3
SULAWESI SELATAN,27.4,,,,,,,,,,,34.1,35.6,34.8,35.7
SULAWESI TENGGARA,30.2,,,,,,,,,,,31.4,29.57,36.4,28.7
GORONTALO,29,,,,,,,,,,,36.5,33.04,31.7,32.5
SULAWESI BARAT,33.8,,,,,,,,,,,38.4,39.71,40,41.6
MALUKU,28.7,,,,,,,,,,,32.3,28.98,30,34
MALUKU UTARA,27.5,,,,,,,,,,,24.5,24.59,25,31.4
PAPUA BARAT,26.2,,,,,,,,,,,29.5,30.28,33.3,27.8
PAPUA,29.5,,,,,,,,,,,28.6,27.99,32.8,33.1
